Country,Year,Internet Users,Population,Internet Users per 100,Continent,GDP per capita
Afghanistan,2015,2788039,38928341,7.16,Asia,19156.28394
Albania,2015,1640132,2877800,57.01,Europe,1914.996551
Algeria,2015,15105483,43851043,34.45,Africa,2231.993335
Andorra,2015,63082,77265,81.66,Europe,21943.3399
Angola,2015,6188099,32866268,18.82,Africa,1381.004268
Antigua and Barbuda,2015,62971,97928,64.29,North America,11894.46407
Argentina,2015,29433430,45195777,65.12,South America,10749.41924
Armenia,2015,1701275,2963234,57.42,Europe,1326.741757
Australia,2015,20142518,25499881,79,Oceania,25249.98606
Austria,2015,7254461,9006400,80.54,Europe,26692.98411
Azerbaijan,2015,7594883,10139175,74.89,Europe,2344.896916
Bahamas,2015,306311,393248,77.89,North America,19630.54055
Bahrain,2015,1273321,1701583,74.84,Asia,12505.21254
Bangladesh,2015,20360069,164689383,12.36,Asia,558.0628766
Barbados,2015,211658,287371,73.65,North America,9243.587053
Belarus,2015,6036724,9449321,63.86,Europe,2737.670379
Belgium,2015,9567015,11589616,82.55,Europe,24496.04826
Belize,2015,149676,397621,37.65,North America,3545.652174
Benin,2015,1230484,12123198,10.15,Africa,377.0396995
Bhutan,2015,295827,771612,38.35,Asia,9827.02837
Bolivia,2015,4157675,11673029,35.61,South America,1324.194906
Bosnia and Herzegovina,2015,1853796,3280815,56.5,Europe,2183.344867
Botswana,2015,860109,2351625,36.57,Africa,5621.39302
Brazil,2015,119682082,212559409,56.3,South America,4699.411262
Brunei,2015,300072,437479,68.61,Asia,17092.46
Bulgaria,2015,4141150,6948445,59.59,Europe,2549.558474
Burkina Faso,2015,1497442,20903278,7.16,Africa,276.200413
Burundi,2015,214543,11890781,1.8,Africa,115.3059959
Cabo Verde,2015,235682,548800,42.93,Africa,7362.29383
Cambodia,2015,2775155,16718971,16.61,Asia,557.9475126
Cameroon,2015,4211315,26545864,15.87,Africa,713.6393027
Canada,2015,32158908,37742157,85.2,North America,25575.35262
Central African Republic,2015,139761,4829764,2.89,Africa,239.5187494
Chad,2015,494910,16425859,3.01,Africa,275.8842865
Chile,2015,13693802,19116209,71.63,South America,6334.105194
China,2015,701038864,1439323774,48.7,Asia,2425.471293
Colombia,2015,26342271,50882884,51.75,South America,3233.42378
Comoros,2015,54468,869595,6.26,Africa,336.3687495
Congo (Kinshasa),2015,2988962,5518092,54.18,Africa,103.7758572
Costa Rica,2015,2925540,5094114,57.42,North America,5188.900935
Cote d'Ivoire,2015,3940655,25070000,15.72,Africa,591.0679443
Croatia,2015,2971781,4105268,72.42,Europe,6338.494668
Cuba,2015,4230356,11326616,37.36,North America,4495.046262
Cyprus,2015,851471,875899,97.22,Europe,15313.85935
Czechia,2015,7963238,10708982,74.35,Europe,7381.312751
Denmark,2015,5469449,5792203,94.41,Europe,30532.27704
Djibouti,2015,230435,988002,23.32,Africa,895.3183396
